uuid,meter_hours,category,is_new,manufacturer,region,price_usd,year
a6fd823a-4369-4737-ad41-b4ac40b77747,0,80,0,96,38,10000,1998
b7568591-ba29-4068-b0a3-826215dd03f8,461,111,0,108,71,10000,2010
6b819fee-6b16-4325-930d-d4937a289461,0,56,0,30,33,10100,2002
1025cf47-6f68-42f5-b649-2c6118e466e1,277,90,0,95,39,10100,2011
f6284931-a569-4528-a665-df9c4fedc543,905,87,0,208,35,10100,2011
317cd5cd-30b9-444d-939d-a4a279a6be30,0,56,0,30,16,10200,2001
bae79434-4bb6-470b-8213-b5b1fc003e87,0,58,0,30,36,10200,2004
1dfa8952-d43c-49a0-b7e5-8f4336a1f77a,0,58,0,30,54,10200,2005
91f0b87d-00e5-4e6f-9848-9eb67dc20c4d,437,87,0,208,72,10200,2011
55877d90-7683-4001-ae00-bd88ca1c3cab,311,90,0,95,35,10200,2011
d537eefe-5e4b-4f98-8e12-970032901dbe,180,90,0,95,60,10200,2012
ebc4e534-063c-45fd-a8ef-c9d1f8cdb3eb,0,76,0,144,22,10200,2018
c96710be-5146-4d45-b7b4-2ad093165e39,0,58,0,96,75,10300,2004
8267895c-27f7-4438-ac90-a0c4740a17cd,0,58,0,96,40,10300,2008
74b0fd30-5ca5-4c53-8780-9edce9347809,108,70,0,95,29,10300,2012
7ef3f93a-817c-4c46-a055-61f845035523,244,90,0,95,58,10300,2012
8476f417-7f28-4595-9c70-adae7c0e92d5,7062,97,0,29,25,10400,1995
f32257d4-22d6-49ac-9a4e-77150d946742,0,58,0,30,28,10400,2004
0daf6d9f-8e3b-4ab9-91dc-3f270a22b45a,0,16,0,144,10,10400,2008
b1ef5217-bbe0-4418-bdbf-eb53b399115f,0,25,0,36,69,10400,2012
e73e12b6-7a55-4eb0-bc3b-56dd4ce4e35c,0,93,0,24,9,10400,2013
930d4e37-463b-4cbe-9aec-f61d31acd9f6,137,90,0,95,4,10400,2014
6a60f088-0d85-43c1-a344-a19c39ed453f,0,41,0,103,42,10500,1998
723190bf-3bbb-493b-87ff-5c767edc198f,0,58,0,30,28,10500,2007
24a222dd-1282-4ff7-a384-3e0662787a44,0,100,0,177,54,10500,2010
2216c020-bf56-48c5-bbb2-55632a0e3022,0,25,0,134,11,10600,2009
606aedfc-fadb-41f4-bd01-861f28869878,632,87,0,208,14,10600,2012
5671b523-2b6d-4984-b3b4-0436788391b9,186,90,0,95,41,10600,2012
9859a2fd-570c-421e-8dc2-d5a68023f8ac,207,90,0,95,4,10600,2013
1d557b6c-b91c-4f51-8ddf-4e8630f03d61,133,111,0,126,71,10600,2015
a2b26c43-7cde-4346-9db9-3183e6500c02,0,58,0,30,2,10700,2006
4d9cf123-b95e-4d5f-9fe0-f2831ed93ee5,164,90,0,95,29,10700,2012
92cbc873-e911-488d-90bf-3277fccda22d,0,56,0,30,11,10800,1996
da659ec2-02f4-4276-80e3-6fb163f2215a,172,90,0,95,70,10800,2012
a9d3258c-7acd-4fca-a20c-4763bb8ab8c7,142,90,0,95,29,10800,2012
38fbd400-770e-4aa4-ae77-8581927ecf0b,213,90,0,95,31,10800,2012
f092b6ae-2ab8-4253-9280-6cab7360f665,265,90,0,95,46,10800,2012
1f94d204-c946-4317-98db-d4094ebea155,2021,63,0,208,35,10900,2014
49f73454-aac9-4f94-b017-6336860a2685,0,68,0,163,54,10900,2019
75e73a62-7ad0-4bb0-b76e-98ee0f5fd8fd,0,15,0,81,75,11000,2007
